venue_id,name
843,"Unitarian Universalist Fellowship of Newark, Fellowship Hall"
844,Greater Georgetown Chamber of Commerce
845,Sussex County Airport
846,The Zone Fitness and Wellness Center
848,Mary Vessels Park
850,Tea and Cakes Tea Room
851,"University of Delaware, Gore Hall, Room 318"
852,Kirkbride Lecture Hall
853,Wilmington Friends School
854,"Delaware State University, Administration Building, Multipurpose Room, 4th Floor"
855,The Painted Tea Cup
856,"Wesley College, DuPont Center, 3rd floor"
857,Brandywine Association of Fundraising Professionals
859,Vine & Vessels Christian Writers Fellowship
860,Crossroad Community Church
862,Thump Thump Productions
864,Shenanigans Irish Pub and Grill
866,"Town Square, Camden"
867,Rustin High School Auditorium
868,Milburn Stone Theater
869,The Empowerment Corner
870,The Mary Campbell Center
871,TS Smith & Sons
872,Claymont Boys & Girls Club
873,"SOAR (Survivors of Abuse in Recovery, Inc.)"
874,Salesianum School
878,Eddie Sherman Presents....
879,Saketumi Restaurant - Upstairs
881,Coastal Camera Club
882,Pierre S. du Pont Arts Center
883,"The Friends of Old Dover, Inc."
884,The Kitchen at Paynter's Mill
885,Gallery 37- A Destination for Artful Living
889,"Delaware State University, Bank of America Building"
891,Milton Community Foundation
892,Gallery at Scott's Chapel (Epworth Church)
893,Pizza by Elizabeth's
895,St. Peter The Apostle Church
896,St. Peter Catholic School
897,Wild Quail Golf & Country Club
898,Delaware PhotoWalks
900,Newport Industrial Park
901,Panera Bread
903,H. Fletcher Brown Park (Wilmington State Parks)
905,2nd & Charles
907,Embassy Suites Newark - Wilmington/South
908,Faith Victory Christian Center
909,Lady's Image Boutique
910,Fort Christina Park
912,Wilmington Classical Guitar
913,Lavender Fields
914,Radnor Hunt Races
915,WDDE 91.1FM
916,Regal Brandywine Town Center 16
917,Osher Lifelong Learning Institute at the University of Delaware - Wilmington
918,Street Road Artists Space
920,"Old Brandywine Village, Inc."
921,Greater Delmar Chamber of Commerce
922,State Street Park
923,Diamond Dance Company
924,Sully's Irish Pub at the Witherspoon
925,Downtown Visions
927,Janosik Park
928,Town of Laurel
929,Milton Memorial Park
930,CenDel Building
931,"Lincoln University, Ware Theater"
932,Colourworks Photo/Art Space
934,Delaware School for the Deaf
935,Vinyard Shipyard
936,Latin American Community Center
937,The Glade Clubhouse
938,The Food Bank of Delaware
939,Alapocas Run State Park
940,TEDxWilmington
942,The Kenny Family Foundation
943,Shoestring Productions of Brandywine Valley
945,Lums Pond State Park
946,Brandywine Zoo
948,The Blue Orchid
949,MeJah Books
950,K.O. Simms Fine Arts
951,Claymont
952,St. Jones Reserve
954,Arden Concert Gild
955,St. James' Episcopal Church
957,Alexis I. duPont High School Theatre
958,Twin Lakes Brewing Co
959,The High Roads Band
960,"University of Delaware, Master Players Concert Series"
962,Georgetown Middle School
964,Old Christ Church League
965,"Clayton Hall Conference Center, University of Delaware"
966,Central Delaware Chamber of Commerce
967,"Practice Without Pressure, Inc."
968,Walter L. Fox Post No. 2
969,Read House & Gardens
971,Community Music School
972,West Chester United Methodist Church
973,Hotel Rodney
